Election_Date,Comune,Provincia,Regione,Circoscrizione
1987-06-14,AVELLA,AVELLINO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,AVELLINO,AVELLINO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,AVERARA,BERGAMO,LOMBARDIA,BRESCIA-BERGAMO
1987-06-14,AVERSA,CASERTA,CAMPANIA,NAPOLI-CASERTA
1987-06-14,AVETRANA,TARANTO,PUGLIA,LECCE-BRINDISI-TARANTO
1987-06-14,AVEZZANO,L'AQUILA,ABRUZZO,L'AQUILA-PESCARA-CHIETI-TERAMO
1987-06-14,AVIANO,PORDENONE,FRIULI VENEZIA GIULIA,UDINE-BELLUNO-GORIZIA-PORDENONE
1987-06-14,AVIATICO,BERGAMO,LOMBARDIA,BRESCIA-BERGAMO
1987-06-14,AVIGLIANA,TORINO,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,AVIGLIANO,POTENZA,BASILICATA,POTENZA-MATERA
1987-06-14,AVIGLIANO UMBRO,TERNI,UMBRIA,PERUGIA-TERNI-RIETI
1987-06-14,AVIO,TRENTO,TRENTINO ALTO ADIGE,TRENTO-BOLZANO
1987-06-14,AVISE,AOSTA,VALLE D'AOSTA,AOSTA
1987-06-14,AVOLA,SIRACUSA,SICILIA,CATANIA-MESSINA-SIRACUSA-RAGUSA-ENNA
1987-06-14,AVOLASCA,ALESSANDRIA,PIEMONTE,CUNEO-ALESSANDRIA-ASTI
1987-06-14,AYAS,AOSTA,VALLE D'AOSTA,AOSTA
1987-06-14,AYMAVILLES,AOSTA,VALLE D'AOSTA,AOSTA
1987-06-14,AZEGLIO,TORINO,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,AZZANELLO,CREMONA,LOMBARDIA,MANTOVA-CREMONA
1987-06-14,AZZANO D'ASTI,ASTI,PIEMONTE,CUNEO-ALESSANDRIA-ASTI
1987-06-14,AZZANO DECIMO,PORDENONE,FRIULI VENEZIA GIULIA,UDINE-BELLUNO-GORIZIA-PORDENONE
1987-06-14,AZZANO MELLA,BRESCIA,LOMBARDIA,BRESCIA-BERGAMO
1987-06-14,AZZANO SAN PAOLO,BERGAMO,LOMBARDIA,BRESCIA-BERGAMO
1987-06-14,AZZATE,VARESE,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,AZZIO,VARESE,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,AZZONE,BERGAMO,LOMBARDIA,BRESCIA-BERGAMO
1987-06-14,BACENO,NOVARA,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,BACOLI,NAPOLI,CAMPANIA,NAPOLI-CASERTA
1987-06-14,BADALUCCO,IMPERIA,LIGURIA,GENOVA-IMPERIA-LA SPEZIA-SAVONA
1987-06-14,BADESI,SASSARI,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,BADIA,BOLZANO,TRENTINO ALTO ADIGE,TRENTO-BOLZANO
1987-06-14,BADIA CALAVENA,VERONA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,BADIA PAVESE,PAVIA,LOMBARDIA,MILANO-PAVIA
1987-06-14,BADIA POLESINE,ROVIGO,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
